company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
GitHub,"SF Bay Area",Product,NULL,0.1,2/9/2023,Acquired,"United States",350
GitHub,"SF Bay Area",Product,NULL,0.1,2/9/2023,Acquired,"United States",350
GitLab,"SF Bay Area",Product,130,0.07,2/9/2023,Post-IPO,"United States",413
GitLab,"SF Bay Area",Product,130,0.07,2/9/2023,Post-IPO,"United States",413
Gitpod,Kiel,Product,21,0.28,1/24/2023,"Series A",Germany,41
Gitpod,Kiel,Product,21,0.28,1/24/2023,"Series A",Germany,41
Glints,Singapore,HR,198,0.18,12/8/2022,"Series D",Singapore,82
Glints,Singapore,HR,198,0.18,12/8/2022,"Series D",Singapore,82
Glovo,Barcelona,Food,250,0.06,1/30/2023,Acquired,Spain,1200
Glovo,Barcelona,Food,250,0.06,1/30/2023,Acquired,Spain,1200
GoBolt,Toronto,Logistics,55,0.05,1/10/2023,"Series C",Canada,178
GoBolt,Toronto,Logistics,55,0.05,1/10/2023,"Series C",Canada,178
GoDaddy,Phoenix,Marketing,530,0.08,2/8/2023,Post-IPO,"United States",800
GoDaddy,Phoenix,Marketing,530,0.08,2/8/2023,Post-IPO,"United States",800
Gokada,Lagos,Transportation,54,NULL,1/31/2023,Unknown,Nigeria,12
Gokada,Lagos,Transportation,54,NULL,1/31/2023,Unknown,Nigeria,12
GoMechanic,Gurugram,Transportation,NULL,0.7,1/17/2023,"Series C",India,54
GoMechanic,Gurugram,Transportation,NULL,0.7,1/17/2023,"Series C",India,54
Gong,"SF Bay Area",Sales,80,0.07,2/8/2023,"Series E","United States",583
Gong,"SF Bay Area",Sales,80,0.07,2/8/2023,"Series E","United States",583
Google,"SF Bay Area",Consumer,12000,0.06,1/20/2023,Post-IPO,"United States",26
Google,"SF Bay Area",Consumer,12000,0.06,1/20/2023,Post-IPO,"United States",26
GoStudent,Vienna,Education,100,NULL,12/14/2022,"Series D",Austria,686
GoStudent,Vienna,Education,100,NULL,12/14/2022,"Series D",Austria,686
Gramophone,Indore,Food,75,NULL,1/16/2023,"Series B",India,17
Gramophone,Indore,Food,75,NULL,1/16/2023,"Series B",India,17
Greenlight,Atlanta,Finance,104,0.21,1/12/2023,"Series D","United States",556
Greenlight,Atlanta,Finance,104,0.21,1/12/2023,"Series D","United States",556
Groupon,Chicago,Retail,500,NULL,1/30/2023,Post-IPO,"United States",1400
Groupon,Chicago,Retail,500,NULL,1/30/2023,Post-IPO,"United States",1400
Grover,Berlin,Retail,40,0.1,12/7/2022,Unknown,"United States",2300
Grover,Berlin,Retail,40,0.1,12/7/2022,Unknown,"United States",2300
"Guardant Health","SF Bay Area",Healthcare,130,0.07,1/25/2023,Post-IPO,"United States",550
"Guardant Health","SF Bay Area",Healthcare,130,0.07,1/25/2023,Post-IPO,"United States",550
Gusto,"SF Bay Area",HR,126,0.05,2/8/2023,"Series E","United States",746
Gusto,"SF Bay Area",HR,126,0.05,2/8/2023,"Series E","United States",746
HackerEarth,"SF Bay Area",HR,NULL,0.08,2/14/2023,"Series B","United States",11
HackerEarth,"SF Bay Area",HR,NULL,0.08,2/14/2023,"Series B","United States",11
Harappa,"New Delhi",Education,60,0.3,1/3/2023,Acquired,India,NULL
Harappa,"New Delhi",Education,60,0.3,1/3/2023,Acquired,India,NULL
HashiCorp,"SF Bay Area",Security,69,NULL,1/11/2023,Post-IPO,"United States",349
HashiCorp,"SF Bay Area",Security,69,NULL,1/11/2023,Post-IPO,"United States",349
Headspace,"Los Angeles",Healthcare,50,0.04,12/14/2022,Unknown,"United States",215
Headspace,"Los Angeles",Healthcare,50,0.04,12/14/2022,Unknown,"United States",215
Heycar,Berlin,Transportation,73,NULL,1/27/2023,Unknown,Germany,NULL
Heycar,Berlin,Transportation,73,NULL,1/27/2023,Unknown,Germany,NULL
Highspot,Seattle,Sales,100,0.1,2/2/2023,"Series F","United States",644
Highspot,Seattle,Sales,100,0.1,2/2/2023,"Series F","United States",644
Homebot,Denver,"Real Estate",18,0.13,12/19/2022,Acquired,"United States",4
Homebot,Denver,"Real Estate",18,0.13,12/19/2022,Acquired,"United States",4
Hootsuite,Vancouver,Marketing,70,0.07,1/18/2023,"Series C",Canada,300
Hootsuite,Vancouver,Marketing,70,0.07,1/18/2023,"Series C",Canada,300
Houzz,"SF Bay Area",Consumer,95,0.08,12/7/2022,"Series E","United States",613
Houzz,"SF Bay Area",Consumer,95,0.08,12/7/2022,"Series E","United States",613
HP,"Tel Aviv",Hardware,100,NULL,2/19/2023,Post-IPO,Israel,4200
HP,"Tel Aviv",Hardware,100,NULL,2/19/2023,Post-IPO,Israel,4200
Hubilo,"SF Bay Area",Other,115,0.35,1/19/2023,"Series B","United States",153
Hubilo,"SF Bay Area",Other,115,0.35,1/19/2023,"Series B","United States",153
HubSpot,Boston,Marketing,500,0.07,1/31/2023,Post-IPO,"United States",100
HubSpot,Boston,Marketing,500,0.07,1/31/2023,Post-IPO,"United States",100
Huobi,Beijing,Crypto,275,0.2,1/6/2023,Unknown,China,2
Huobi,Beijing,Crypto,275,0.2,1/6/2023,Unknown,China,2
Hydrow,Boston,Fitness,30,NULL,1/19/2023,"Series D","United States",269
Hydrow,Boston,Fitness,30,NULL,1/19/2023,"Series D","United States",269
IBM,"New York City",Hardware,3900,0.02,1/25/2023,Post-IPO,"United States",NULL
IBM,"New York City",Hardware,3900,0.02,1/25/2023,Post-IPO,"United States",NULL
iFood,"Sao Paulo",Food,355,0.06,3/1/2023,Subsidiary,Brazil,2100
iFood,"Sao Paulo",Food,355,0.06,3/1/2023,Subsidiary,Brazil,2100
Ignition,Sydney,Finance,NULL,0.1,1/16/2023,"Series C",Australia,74
Ignition,Sydney,Finance,NULL,0.1,1/16/2023,"Series C",Australia,74
Immutable,Sydney,Crypto,NULL,0.11,2/22/2023,"Series C",Australia,279
Immutable,Sydney,Crypto,NULL,0.11,2/22/2023,"Series C",Australia,279
"Impossible Foods copy","SF Bay Area",Food,140,0.2,1/30/2023,"Series H","United States",1900
"Impossible Foods copy","SF Bay Area",Food,140,0.2,1/30/2023,"Series H","United States",1900
Improbable,London,Other,NULL,0.1,12/16/2022,Unknown,"United Kingdom",704
Improbable,London,Other,NULL,0.1,12/16/2022,Unknown,"United Kingdom",704
Informatica,"SF Bay Area",Data,450,0.07,1/10/2023,Post-IPO,"United States",NULL
Informatica,"SF Bay Area",Data,450,0.07,1/10/2023,Post-IPO,"United States",NULL
Inmobi,Bengaluru,Marketing,50,NULL,1/23/2023,Unknown,India,320
Inmobi,Bengaluru,Marketing,50,NULL,1/23/2023,Unknown,India,320
Innovaccer,"SF Bay Area",Healthcare,245,0.15,1/24/2023,"Series E","United States",379
Innovaccer,"SF Bay Area",Healthcare,245,0.15,1/24/2023,"Series E","United States",379
Innovid,"New York City",Marketing,40,0.1,1/23/2023,Post-IPO,"United States",295
Innovid,"New York City",Marketing,40,0.1,1/23/2023,Post-IPO,"United States",295
Inscripta,Boulder,Healthcare,43,NULL,12/8/2022,"Series E","United States",459
Inscripta,Boulder,Healthcare,43,NULL,12/8/2022,"Series E","United States",459
Inspirato,Denver,Travel,109,0.12,1/18/2023,Post-IPO,"United States",179
Inspirato,Denver,Travel,109,0.12,1/18/2023,Post-IPO,"United States",179
"Integral Ad Science","New York City",Marketing,120,0.13,12/7/2022,Acquired,"United States",116
"Integral Ad Science","New York City",Marketing,120,0.13,12/7/2022,Acquired,"United States",116
Intel,"SF Bay Area",Hardware,201,NULL,12/6/2022,Post-IPO,"United States",12
Intel,"SF Bay Area",Hardware,201,NULL,12/6/2022,Post-IPO,"United States",12
Intel,"SF Bay Area",Hardware,343,NULL,1/30/2023,Post-IPO,"United States",12
Intel,"SF Bay Area",Hardware,343,NULL,1/30/2023,Post-IPO,"United States",12
Intrinsic,"SF Bay Area",Other,40,0.2,1/11/2023,Acquired,"United States",NULL
Intrinsic,"SF Bay Area",Other,40,0.2,1/11/2023,Acquired,"United States",NULL
iRobot,Boston,Consumer,85,0.07,2/13/2023,Acquired,"United States",30
iRobot,Boston,Consumer,85,0.07,2/13/2023,Acquired,"United States",30
JD.ID,Jakarta,Retail,200,0.3,12/14/2022,Post-IPO,Indonesia,5100
JD.ID,Jakarta,Retail,200,0.3,12/14/2022,Post-IPO,Indonesia,5100
Jellyfish,Boston,Product,NULL,0.09,1/13/2023,"Series C","United States",114
Jellyfish,Boston,Product,NULL,0.09,1/13/2023,"Series C","United States",114
Jellysmack,Paris,Media,208,NULL,2/15/2023,"Series C",France,22
Jellysmack,Paris,Media,208,NULL,2/15/2023,"Series C",France,22
"Jounce Therapeutics",Boston,Healthcare,NULL,0.57,2/22/2023,Acquired,"United States",194
"Jounce Therapeutics",Boston,Healthcare,NULL,0.57,2/22/2023,Acquired,"United States",194
Jumio,"SF Bay Area",Security,100,0.06,1/11/2023,"Private Equity","United States",205
Jumio,"SF Bay Area",Security,100,0.06,1/11/2023,"Private Equity","United States",205
Jumpcloud,Boulder,Security,100,0.12,1/18/2023,"Series F","United States",416
Jumpcloud,Boulder,Security,100,0.12,1/18/2023,"Series F","United States",416
Kaltura,"New York City",Media,75,0.11,1/4/2023,Post-IPO,"United States",166
Kaltura,"New York City",Media,75,0.11,1/4/2023,Post-IPO,"United States",166
Kandela,"Los Angeles",Consumer,NULL,1,3/2/2023,Acquired,"United States",NULL
Kandela,"Los Angeles",Consumer,NULL,1,3/2/2023,Acquired,"United States",NULL
Karat,Seattle,HR,47,NULL,1/20/2023,Unknown,"United States",169
Karat,Seattle,HR,47,NULL,1/20/2023,Unknown,"United States",169
Kinde,Sydney,Other,8,0.28,2/20/2023,Seed,Australia,10
Kinde,Sydney,Other,8,0.28,2/20/2023,Seed,Australia,10
Koho,Toronto,Finance,NULL,0.14,2/8/2023,"Series D",Canada,278
Koho,Toronto,Finance,NULL,0.14,2/8/2023,"Series D",Canada,278
"Komodo Health","SF Bay Area",Healthcare,78,0.09,12/13/2022,"Series E","United States",514
"Komodo Health","SF Bay Area",Healthcare,78,0.09,12/13/2022,"Series E","United States",514
Kyruus,Boston,Healthcare,70,NULL,2/5/2023,Unknown,"United States",183
Kyruus,Boston,Healthcare,70,NULL,2/5/2023,Unknown,"United States",183
"Lam Research","SF Bay Area",Hardware,1300,0.07,1/25/2023,Post-IPO,"United States",NULL
"Lam Research","SF Bay Area",Hardware,1300,0.07,1/25/2023,Post-IPO,"United States",NULL
Lantern,"Grand Rapids",Retail,NULL,1,1/6/2023,Seed,"United States",40
Lantern,"Grand Rapids",Retail,NULL,1,1/6/2023,Seed,"United States",40
Lattice,"SF Bay Area",HR,NULL,0.15,1/12/2023,"Series F","United States",328
Lattice,"SF Bay Area",HR,NULL,0.15,1/12/2023,"Series F","United States",328
LEAD,Mumbai,Education,60,NULL,1/10/2023,"Series E",India,190
LEAD,Mumbai,Education,60,NULL,1/10/2023,"Series E",India,190
LeafLink,"New York City",Other,80,0.31,12/15/2022,"Series C","United States",379
LeafLink,"New York City",Other,80,0.31,12/15/2022,"Series C","United States",379
LearnUpon,Dublin,Education,27,0.09,2/7/2023,"Private Equity",Ireland,56
LearnUpon,Dublin,Education,27,0.09,2/7/2023,"Private Equity",Ireland,56
Lendi,Sydney,"Real Estate",100,NULL,3/3/2023,Unknown,Australia,59
Lendi,Sydney,"Real Estate",100,NULL,3/3/2023,Unknown,Australia,59
"Lending Club","SF Bay Area",Finance,225,0.14,1/12/2023,Post-IPO,"United States",392
"Lending Club","SF Bay Area",Finance,225,0.14,1/12/2023,Post-IPO,"United States",392
Lendis,Berlin,Other,NULL,0.5,12/21/2022,"Series A",Germany,90
Lendis,Berlin,Other,NULL,0.5,12/21/2022,"Series A",Germany,90
Lev,"New York City","Real Estate",30,0.3,12/7/2022,"Series B","United States",114
Lev,"New York City","Real Estate",30,0.3,12/7/2022,"Series B","United States",114
Life360,"SF Bay Area",Consumer,NULL,0.14,1/12/2023,Post-IPO,"United States",158
Life360,"SF Bay Area",Consumer,NULL,0.14,1/12/2023,Post-IPO,"United States",158
Lightico,"Tel Aviv",Finance,20,0.25,2/5/2023,"Series B",Israel,42
Lightico,"Tel Aviv",Finance,20,0.25,2/5/2023,"Series B",Israel,42
"Lightspeed Commerce",Montreal,Retail,300,0.1,1/17/2023,Post-IPO,Canada,1200
"Lightspeed Commerce",Montreal,Retail,300,0.1,1/17/2023,Post-IPO,Canada,1200
Limeade,Seattle,HR,NULL,0.15,1/11/2023,"Series C","United States",33
Limeade,Seattle,HR,NULL,0.15,1/11/2023,"Series C","United States",33
Lithic,"New York City",Finance,27,0.18,12/7/2022,"Series C","United States",115
Lithic,"New York City",Finance,27,0.18,12/7/2022,"Series C","United States",115
LiveVox,"SF Bay Area",Support,NULL,0.16,1/17/2023,Post-IPO,"United States",12
LiveVox,"SF Bay Area",Support,NULL,0.16,1/17/2023,Post-IPO,"United States",12
Locomation,Pittsburgh,Transportation,NULL,1,2/22/2023,Seed,"United States",57
Locomation,Pittsburgh,Transportation,NULL,1,2/22/2023,Seed,"United States",57
Loft,"Sao Paulo","Real Estate",312,0.12,12/7/2022,Unknown,Brazil,788
Loft,"Sao Paulo","Real Estate",312,0.12,12/7/2022,Unknown,Brazil,788
Loft,"Sao Paulo","Real Estate",340,0.15,3/3/2023,Unknown,Brazil,788
Loft,"Sao Paulo","Real Estate",340,0.15,3/3/2023,Unknown,Brazil,788
Loggi,"Sao Paulo",Logistics,300,0.07,2/6/2023,"Series F",Brazil,507
Loggi,"Sao Paulo",Logistics,300,0.07,2/6/2023,"Series F",Brazil,507
"Lucid Diagnostics","New York City",Healthcare,NULL,0.2,1/18/2023,Post-IPO,"United States",NULL
"Lucid Diagnostics","New York City",Healthcare,NULL,0.2,1/18/2023,Post-IPO,"United States",NULL
"Lucira Health","SF Bay Area",Healthcare,26,NULL,2/24/2023,Post-IPO,"United States",132
"Lucira Health","SF Bay Area",Healthcare,26,NULL,2/24/2023,Post-IPO,"United States",132
Luno,London,Crypto,330,0.35,1/25/2023,Acquired,"United Kingdom",13
Luno,London,Crypto,330,0.35,1/25/2023,Acquired,"United Kingdom",13
"Luxury Presence","Los Angeles","Real Estate",44,NULL,1/17/2023,"Series B","United States",31
"Luxury Presence","Los Angeles","Real Estate",44,NULL,1/17/2023,"Series B","United States",31
"Magic Eden","SF Bay Area",Crypto,22,NULL,2/13/2023,"Series B","United States",170
"Magic Eden","SF Bay Area",Crypto,22,NULL,2/13/2023,"Series B","United States",170
Magnite,"Los Angeles",Marketing,NULL,0.06,1/19/2023,Post-IPO,"United States",400
Magnite,"Los Angeles",Marketing,NULL,0.06,1/19/2023,Post-IPO,"United States",400
Mapbox,"Washington D.C.",Data,64,NULL,1/12/2023,Unknown,"United States",334
Mapbox,"Washington D.C.",Data,64,NULL,1/12/2023,Unknown,"United States",334
MariaDB,Helsinki,Data,NULL,0.08,2/1/2023,Post-IPO,Finland,245
MariaDB,Helsinki,Data,NULL,0.08,2/1/2023,Post-IPO,Finland,245
MasterClass,"SF Bay Area",Education,79,NULL,3/2/2023,"Series E","United States",461
MasterClass,"SF Bay Area",Education,79,NULL,3/2/2023,"Series E","United States",461
"Match Group","New York City",Consumer,NULL,0.08,2/1/2023,Post-IPO,"United States",NULL
"Match Group","New York City",Consumer,NULL,0.08,2/1/2023,Post-IPO,"United States",NULL
Matrixport,Singapore,Crypto,29,0.1,1/27/2023,"Series C",Singapore,100
Matrixport,Singapore,Crypto,29,0.1,1/27/2023,"Series C",Singapore,100
"Me Poupe","Sao Paulo",Finance,60,0.5,1/28/2023,Unknown,Brazil,NULL
"Me Poupe","Sao Paulo",Finance,60,0.5,1/28/2023,Unknown,Brazil,NULL
Medallia,"SF Bay Area",Support,59,NULL,2/24/2023,Acquired,"United States",325
Medallia,"SF Bay Area",Support,59,NULL,2/24/2023,Acquired,"United States",325
MediBuddy,Bengaluru,Healthcare,200,NULL,1/20/2023,Acquired,India,192
MediBuddy,Bengaluru,Healthcare,200,NULL,1/20/2023,Acquired,India,192
Medly,"New York City",Healthcare,NULL,1,2/8/2023,"Series C","United States",100
Medly,"New York City",Healthcare,NULL,1,2/8/2023,"Series C","United States",100
Merative,"Ann Arbor",Healthcare,200,0.1,2/23/2023,Acquired,"United States",NULL
Merative,"Ann Arbor",Healthcare,200,0.1,2/23/2023,Acquired,"United States",NULL
MeridianLink,"Los Angeles",Finance,NULL,0.09,2/28/2023,Post-IPO,"United States",485
MeridianLink,"Los Angeles",Finance,NULL,0.09,2/28/2023,Post-IPO,"United States",485
Messari,"New York City",Crypto,NULL,0.15,2/23/2023,"Series B","United States",61
Messari,"New York City",Crypto,NULL,0.15,2/23/2023,"Series B","United States",61
Microsoft,Seattle,Other,10000,0.05,1/18/2023,Post-IPO,"United States",1
Microsoft,Seattle,Other,10000,0.05,1/18/2023,Post-IPO,"United States",1
Milkrun,Sydney,Food,NULL,0.2,2/15/2023,"Series A",Australia,86
Milkrun,Sydney,Food,NULL,0.2,2/15/2023,"Series A",Australia,86
Mindstrong,"SF Bay Area",Healthcare,127,NULL,2/2/2023,"Series C","United States",160
Mindstrong,"SF Bay Area",Healthcare,127,NULL,2/2/2023,"Series C","United States",160
"Minute Media",London,Media,50,0.1,1/8/2023,"Series I","United Kingdom",160
"Minute Media",London,Media,50,0.1,1/8/2023,"Series I","United Kingdom",160
Miro,"SF Bay Area",Other,119,0.07,2/2/2023,"Series C","United States",476
Miro,"SF Bay Area",Other,119,0.07,2/2/2023,"Series C","United States",476
"Misfits Market",Philadelphia,Food,649,0.33,2/9/2023,"Series C","United States",526
"Misfits Market",Philadelphia,Food,649,0.33,2/9/2023,"Series C","United States",526
"Mode Global",London,Finance,NULL,1,1/26/2023,Post-IPO,"United Kingdom",NULL
"Mode Global",London,Finance,NULL,1,1/26/2023,Post-IPO,"United Kingdom",NULL
"Modern Treasury","SF Bay Area",Finance,NULL,0.18,12/16/2022,"Series C","United States",183
"Modern Treasury","SF Bay Area",Finance,NULL,0.18,12/16/2022,"Series C","United States",183
Moglix,Singapore,Retail,40,0.02,1/5/2023,"Series F",Singapore,472
Moglix,Singapore,Retail,40,0.02,1/5/2023,"Series F",Singapore,472
"Mojo Vision","SF Bay Area",Hardware,NULL,0.75,1/6/2023,"Series B","United States",204
"Mojo Vision","SF Bay Area",Hardware,NULL,0.75,1/6/2023,"Series B","United States",204
Moladin,Jakarta,Transportation,360,0.11,2/12/2023,"Series B",Indonesia,138
Moladin,Jakarta,Transportation,360,0.11,2/12/2023,"Series B",Indonesia,138
Momentive,"SF Bay Area",Marketing,NULL,0.14,2/15/2023,Post-IPO,"United States",1100
Momentive,"SF Bay Area",Marketing,NULL,0.14,2/15/2023,Post-IPO,"United States",1100
Motive,"SF Bay Area",Transportation,237,0.06,12/7/2022,"Series F","United States",567
Motive,"SF Bay Area",Transportation,237,0.06,12/7/2022,"Series F","United States",567
Mudafy,"Mexico City","Real Estate",NULL,0.7,1/19/2023,"Series A","United States",13
Mudafy,"Mexico City","Real Estate",NULL,0.7,1/19/2023,"Series A","United States",13
MyGate,Bengaluru,Other,200,0.3,2/20/2023,"Series B",India,79
MyGate,Bengaluru,Other,200,0.3,2/20/2023,"Series B",India,79
Namogoo,"Tel Aviv",Marketing,20,0.15,1/23/2023,"Series C","United States",69
Namogoo,"Tel Aviv",Marketing,20,0.15,1/23/2023,"Series C","United States",69
"National Instruments",Austin,Hardware,NULL,0.04,1/31/2023,Post-IPO,"United States",NULL
"National Instruments",Austin,Hardware,NULL,0.04,1/31/2023,Post-IPO,"United States",NULL
"NCC Group",Manchester,Security,125,0.07,2/2/2023,Post-IPO,"United Kingdom",NULL
"NCC Group",Manchester,Security,125,0.07,2/2/2023,Post-IPO,"United Kingdom",NULL
nCino,Wilmington,Finance,100,0.07,1/18/2023,Post-IPO,"United States",1100
nCino,Wilmington,Finance,100,0.07,1/18/2023,Post-IPO,"United States",1100
NCSoft,Seoul,Consumer,NULL,0.2,2/2/2023,Post-IPO,"South Korea",240
NCSoft,Seoul,Consumer,NULL,0.2,2/2/2023,Post-IPO,"South Korea",240
Nearmap,Sydney,Construction,NULL,0.2,2/8/2023,Acquired,Australia,15
Nearmap,Sydney,Construction,NULL,0.2,2/8/2023,Acquired,Australia,15
Neon,"Sao Paulo",Finance,210,0.09,2/15/2023,"Series D",Brazil,720
Neon,"Sao Paulo",Finance,210,0.09,2/15/2023,"Series D",Brazil,720
Nerdy,"St. Louis",Education,NULL,0.17,12/8/2022,Post-IPO,"United States",150
Nerdy,"St. Louis",Education,NULL,0.17,12/8/2022,Post-IPO,"United States",150
NetApp,"SF Bay Area",Data,960,0.08,1/31/2023,Post-IPO,"United States",NULL
NetApp,"SF Bay Area",Data,960,0.08,1/31/2023,Post-IPO,"United States",NULL
"Nomad Health","New York City",Healthcare,119,0.17,2/9/2023,Unknown,"United States",218
"Nomad Health","New York City",Healthcare,119,0.17,2/9/2023,Unknown,"United States",218
"Octopus Network","Beau Vallon",Crypto,NULL,0.4,12/27/2022,"Series A",Seychelles,8
"Octopus Network","Beau Vallon",Crypto,NULL,0.4,12/27/2022,"Series A",Seychelles,8
"OFFOR Health",Columbus,Healthcare,16,NULL,1/24/2023,"Series A","United States",14
"OFFOR Health",Columbus,Healthcare,16,NULL,1/24/2023,"Series A","United States",14
Okta,"SF Bay Area",Security,300,0.05,2/2/2023,Post-IPO,"United States",1200
Okta,"SF Bay Area",Security,300,0.05,2/2/2023,Post-IPO,"United States",1200
Ola,Bengaluru,Transportation,200,NULL,1/13/2023,"Series J",India,5000
Ola,Bengaluru,Transportation,200,NULL,1/13/2023,"Series J",India,5000
"Olive AI",Columbus,Healthcare,215,0.35,2/9/2023,"Series H","United States",856
"Olive AI",Columbus,Healthcare,215,0.35,2/9/2023,"Series H","United States",856
"OLX Group",Amsterdam,Marketing,1500,0.15,1/30/2023,Acquired,Netherlands,NULL
"OLX Group",Amsterdam,Marketing,1500,0.15,1/30/2023,Acquired,Netherlands,NULL
OneFootball,Berlin,Marketing,62,0.115,12/9/2022,"Series D",Germany,442
OneFootball,Berlin,Marketing,62,0.115,12/9/2022,"Series D",Germany,442
OneFootball,Berlin,Marketing,150,0.32,2/23/2023,"Series D",Germany,442
OneFootball,Berlin,Marketing,150,0.32,2/23/2023,"Series D",Germany,442
Openpay,Melbourne,Finance,83,1,2/7/2023,Post-IPO,Australia,299
Openpay,Melbourne,Finance,83,1,2/7/2023,Post-IPO,Australia,299
OpenText,Waterloo,Data,NULL,0.08,1/31/2023,Post-IPO,Canada,1100
OpenText,Waterloo,Data,NULL,0.08,1/31/2023,Post-IPO,Canada,1100
Oportun,"SF Bay Area",Finance,155,0.1,2/9/2023,Post-IPO,"United States",566
Oportun,"SF Bay Area",Finance,155,0.1,2/9/2023,Post-IPO,"United States",566
Otonomo,"Tel Aviv",Transportation,80,0.5,12/8/2022,Post-IPO,Israel,231
Otonomo,"Tel Aviv",Transportation,80,0.5,12/8/2022,Post-IPO,Israel,231
Outreach,Seattle,Sales,70,0.07,2/27/2023,"Series G","United States",489
Outreach,Seattle,Sales,70,0.07,2/27/2023,"Series G","United States",489
Outschool,"SF Bay Area",Education,43,0.25,12/10/2022,"Series D","United States",240
Outschool,"SF Bay Area",Education,43,0.25,12/10/2022,"Series D","United States",240
Paddle,London,Finance,NULL,0.08,1/11/2023,"Series D","United Kingdom",293
Paddle,London,Finance,NULL,0.08,1/11/2023,"Series D","United Kingdom",293
Pagaya,"New York City",Finance,140,0.2,1/18/2023,Post-IPO,"United States",571
Pagaya,"New York City",Finance,140,0.2,1/18/2023,Post-IPO,"United States",571
PagBank,"Sao Paulo",Finance,500,0.07,1/16/2023,Post-IPO,Brazil,NULL
PagBank,"Sao Paulo",Finance,500,0.07,1/16/2023,Post-IPO,Brazil,NULL
PagerDuty,"SF Bay Area",Product,NULL,0.07,1/24/2023,Post-IPO,"United States",173
PagerDuty,"SF Bay Area",Product,NULL,0.07,1/24/2023,Post-IPO,"United States",173
PagSeguro,"Sao Paulo",Finance,NULL,0.07,1/25/2023,Post-IPO,Brazil,NULL
PagSeguro,"Sao Paulo",Finance,NULL,0.07,1/25/2023,Post-IPO,Brazil,NULL
Palantir,Denver,Data,75,0.02,2/27/2023,Post-IPO,"United States.",3000
Palantir,Denver,Data,75,0.02,2/27/2023,Post-IPO,"United States.",3000
Parler,Nashville,Consumer,60,0.75,1/10/2023,"Series B","United States",36
Parler,Nashville,Consumer,60,0.75,1/10/2023,"Series B","United States",36
PartnerStack,Toronto,Sales,40,0.2,1/24/2023,"Series B",Canada,36
PartnerStack,Toronto,Sales,40,0.2,1/24/2023,"Series B",Canada,36
PayFit,Paris,HR,200,0.2,3/1/2023,"Series E",France,495
PayFit,Paris,HR,200,0.2,3/1/2023,"Series E",France,495
PayPal,"SF Bay Area",Finance,2000,0.07,1/31/2023,Post-IPO,"United States",216
PayPal,"SF Bay Area",Finance,2000,0.07,1/31/2023,Post-IPO,"United States",216
PayU,Amsterdam,Finance,150,0.06,12/26/2022,Acquired,Netherlands,NULL
PayU,Amsterdam,Finance,150,0.06,12/26/2022,Acquired,Netherlands,NULL
"Pecan AI","Tel Aviv",Data,30,0.25,1/5/2023,"Series C",Israel,116
"Pecan AI","Tel Aviv",Data,30,0.25,1/5/2023,"Series C",Israel,116
Pegasystems,Boston,HR,245,0.04,1/3/2023,Post-IPO,"United States",NULL
Pegasystems,Boston,HR,245,0.04,1/3/2023,Post-IPO,"United States",NULL
Personalis,"SF Bay Area",Healthcare,NULL,0.3,1/19/2023,Post-IPO,"United States",225
Personalis,"SF Bay Area",Healthcare,NULL,0.3,1/19/2023,Post-IPO,"United States",225
Personetics,"New York City",Support,30,0.08,1/5/2023,"Private Equity","United States",178
Personetics,"New York City",Support,30,0.08,1/5/2023,"Private Equity","United States",178
PetLove,"Sao Paulo",Retail,94,NULL,2/13/2023,"Series C",Brazil,225
PetLove,"Sao Paulo",Retail,94,NULL,2/13/2023,"Series C",Brazil,225
PhableCare,Bengaluru,Healthcare,NULL,0.7,2/14/2023,"Series B",India,40
PhableCare,Bengaluru,Healthcare,NULL,0.7,2/14/2023,"Series B",India,40
Philips,Amsterdam,Healthcare,6000,0.13,1/30/2023,Post-IPO,Netherlands,NULL
Philips,Amsterdam,Healthcare,6000,0.13,1/30/2023,Post-IPO,Netherlands,NULL
"Pico Interactive","SF Bay Area",Other,400,0.2,2/16/2023,Acquired,"United States",62
"Pico Interactive","SF Bay Area",Other,400,0.2,2/16/2023,Acquired,"United States",62
Pier,"Sao Paulo",Finance,111,0.39,1/12/2023,"Series B",Brazil,42
Pier,"Sao Paulo",Finance,111,0.39,1/12/2023,"Series B",Brazil,42
Pinterest,"SF Bay Area",Consumer,150,NULL,2/1/2023,Post-IPO,"United States",1500
Pinterest,"SF Bay Area",Consumer,150,NULL,2/1/2023,Post-IPO,"United States",1500
Plaid,"SF Bay Area",Finance,260,0.2,12/7/2022,"Series D","United States",734
Plaid,"SF Bay Area",Finance,260,0.2,12/7/2022,"Series D","United States",734
Playtika,"Tel Aviv",Consumer,600,0.15,12/9/2022,Post-IPO,Israel,NULL
Playtika,"Tel Aviv",Consumer,600,0.15,12/9/2022,Post-IPO,Israel,NULL
Pluralsight,"Salt Lake City",Education,400,0.2,12/12/2022,Acquired,"United States",192
Pluralsight,"Salt Lake City",Education,400,0.2,12/12/2022,Acquired,"United States",192
"Plus One Robotics","San Antonio",Other,NULL,0.1,1/26/2023,"Series B","United States",43
"Plus One Robotics","San Antonio",Other,NULL,0.1,1/26/2023,"Series B","United States",43
"Pocket Aces",Mumbai,Media,50,0.25,2/6/2023,Unknown,India,19
"Pocket Aces",Mumbai,Media,50,0.25,2/6/2023,Unknown,India,19
Polygon,Bengaluru,Crypto,100,0.2,2/21/2023,Unknown,India,451
